Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C0,100nF ,C_0603,-169.899827,-66.371281,107,bottom
C1,100nF ,C_0603,-175.476923,-84.352587,107,bottom
C2,100nF ,C_0603,-191.550374,-39.704112,107,bottom
C3,100nF ,C_0603,-197.284225,-58.036899,107,bottom
C4,100nF ,C_0603,-222.50665,-43.27599,107,bottom
C5,100nF ,C_0603,-228.45978,-61.730693,107,bottom
C6,100nF ,C_0603,-174.658413,-137.468121,-12,bottom
C7,100nF ,C_0603,-189.169122,-127.810436,-44,bottom
C10,100nF ,C_0603,-136.0615,-69.655,-107,bottom
C11,100nF ,C_0603,-130.540875,-87.68625,-107,bottom
C12,100nF ,C_0603,-106.063711,-36.650173,73,bottom
C13,100nF ,C_0603,-109.686559,-60.623483,-107,bottom
C14,100nF ,C_0603,-84.822125,-46.014375,-17,bottom
C15,100nF ,C_0603,-77.817054,-64.742755,-107,bottom
C16,100nF ,C_0603,-119.82525,-125.78625,56,bottom
C17,100nF ,C_0603,-135.303367,-135.886763,56,bottom
R1,500ohm,R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal,-146.39375,-119.595011,-90,bottom
R3,500ohm,R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal,-160.75275,-119.595011,-90,bottom
U0,SS39ET,SOT95P247X115-3N,-176.790217,-71.203272,-163,bottom
U1,SS39ET,SOT95P247X115-3N,-182.359896,-89.420878,-73,bottom
U2,SS39ET,SOT95P247X115-3N,-198.546944,-44.631144,107,bottom
U3,SS39ET,SOT95P247X115-3N,-204.116625,-62.84875,107,bottom
U4,SS39ET,SOT95P247X115-3N,-229.586473,-48.421693,107,bottom
U5,SS39ET,SOT95P247X115-3N,-235.156154,-66.639299,107,bottom
U6,SS39ET,SOT95P247X115-3N,-170.782058,-143.914395,-57,bottom
U7,SS39ET,SOT95P247X115-3N,-186.758733,-133.539023,-57,bottom
U10,SS39ET,SOT95P247X115-3N,-130.355949,-71.203272,45,bottom
U11,SS39ET,SOT95P247X115-3N,-124.78627,-89.420878,45,bottom
U12,SS39ET,SOT95P247X115-3N,-108.599222,-44.631144,90,bottom
U13,SS39ET,SOT95P247X115-3N,-103.029541,-62.84875,45,bottom
U14,SS39ET,SOT95P247X115-3N,-77.559693,-48.421693,90,bottom
U15,SS39ET,SOT95P247X115-3N,-71.990012,-66.639299,90,bottom
U16,SS39ET,SOT95P247X115-3N,-120.029334,-134.090446,45,bottom
U17,SS39ET,SOT95P247X115-3N,-136.006008,-144.46582,45,bottom
