Ref,Val,Package,PosX,PosY,Rot,Side
"J0","Conn_01x01","PinSocket_1x01_P2.54mm_Vertical",164.872750,-97.786875,0.000000,top
"J1","Conn_01x04","PinSocket_1x04_P2.54mm_Vertical",162.975350,-103.174481,0.000000,top
"J2","Conn_01x09","PinSocket_1x09_P2.54mm_Horizontal",209.493750,-88.966875,0.000000,top
"J3","Conn_01x09","PinSocket_1x09_P2.54mm_Horizontal",97.653750,-88.956875,0.000000,top
"J4","Conn_01x01","PinSocket_1x01_P2.54mm_Vertical",139.408312,-97.786875,0.000000,top
"J5","Conn_01x04","PinSocket_1x04_P2.54mm_Vertical",144.170816,-103.174481,0.000000,top
"REF**","mousebiteholes","mousebiteholes",153.393750,-148.286875,0.000000,top
"REF**","mousebiteholes","mousebiteholes",153.393750,-103.286875,0.000000,top
"mG0","magKey_SK6812MINI-E","magKey_SK6812MINI-E_FLIPPED",176.790217,-71.203272,-163.000000,top
"mG1","magKey_SK6812MINI-E","magKey_SK6812MINI-E_FLIPPED",182.359896,-89.420878,-163.000000,top
"mG2","magKey_SK6812MINI-E","magKey_SK6812MINI-E_FLIPPED",198.546944,-44.631144,-163.000000,top
"mG3","magKey_SK6812MINI-E","magKey_SK6812MINI-E_FLIPPED",204.116625,-62.848750,-163.000000,top
"mG4","magKey_SK6812MINI-E","magKey_SK6812MINI-E_FLIPPED",229.586473,-48.421693,-163.000000,top
"mG5","magKey_SK6812MINI-E","magKey_SK6812MINI-E_FLIPPED",235.156154,-66.639299,-163.000000,top
"mG6","magKey_SK6812MINI-E","magKey_SK6812MINI-E",170.782058,-143.914395,-147.000000,top
"mG7","magKey_SK6812MINI-E","magKey_SK6812MINI-E",186.758733,-133.539023,-147.000000,top
"mG10","magKey_SK6812MINI-E","magKey_SK6812MINI-E",130.355949,-71.203272,163.000000,top
"mG11","magKey_SK6812MINI-E","magKey_SK6812MINI-E",124.786270,-89.420878,163.000000,top
"mG12","magKey_SK6812MINI-E","magKey_SK6812MINI-E_FLIPPED",108.599222,-44.631144,163.000000,top
"mG13","magKey_SK6812MINI-E","magKey_SK6812MINI-E",103.029541,-62.848750,163.000000,top
"mG14","magKey_SK6812MINI-E","magKey_SK6812MINI-E",77.559693,-48.421693,163.000000,top
"mG15","magKey_SK6812MINI-E","magKey_SK6812MINI-E",71.990012,-66.639299,163.000000,top
"mG16","magKey_SK6812MINI-E","magKey_SK6812MINI-E_FLIPPED",120.029334,-134.090446,147.000000,top
"mG17","magKey_SK6812MINI-E","magKey_SK6812MINI-E_FLIPPED",136.006008,-144.465820,147.000000,top
