Ref,Val,Package,PosX,PosY,Rot,Side
"mG0","magKey_SK6812MINI-E","magKey_SK6812MINI-E_FLIPPED",180.311217,-71.203272,-163.000000,top
"mG1","magKey_SK6812MINI-E","magKey_SK6812MINI-E_FLIPPED",185.880896,-89.420878,-163.000000,top
"mG2","magKey_SK6812MINI-E","magKey_SK6812MINI-E_FLIPPED",202.067944,-44.631144,-163.000000,top
"mG3","magKey_SK6812MINI-E","magKey_SK6812MINI-E_FLIPPED",207.637625,-62.848750,-163.000000,top
"mG4","magKey_SK6812MINI-E","magKey_SK6812MINI-E_FLIPPED",233.107473,-48.421693,-163.000000,top
"mG5","magKey_SK6812MINI-E","magKey_SK6812MINI-E_FLIPPED",238.677154,-66.639299,-163.000000,top
"mG6","magKey_SK6812MINI-E","magKey_SK6812MINI-E",174.303058,-143.914395,-147.000000,top
"mG7","magKey_SK6812MINI-E","magKey_SK6812MINI-E",190.279733,-133.539023,-147.000000,top
"mG10","magKey_SK6812MINI-E","magKey_SK6812MINI-E",127.915949,-71.203272,163.000000,top
"mG11","magKey_SK6812MINI-E","magKey_SK6812MINI-E",122.346270,-89.420878,163.000000,top
"mG12","magKey_SK6812MINI-E","magKey_SK6812MINI-E_FLIPPED",106.159222,-44.631144,163.000000,top
"mG13","magKey_SK6812MINI-E","magKey_SK6812MINI-E",100.589541,-62.848750,163.000000,top
"mG14","magKey_SK6812MINI-E","magKey_SK6812MINI-E",75.119693,-48.421693,163.000000,top
"mG15","magKey_SK6812MINI-E","magKey_SK6812MINI-E",69.550012,-66.639299,163.000000,top
"mG16","magKey_SK6812MINI-E","magKey_SK6812MINI-E_FLIPPED",117.589334,-134.090446,147.000000,top
"mG17","magKey_SK6812MINI-E","magKey_SK6812MINI-E_FLIPPED",133.566008,-144.465820,147.000000,top
